# ell, ell*(ell+1)*C_11(ell)/2pi, ell*(ell+1)*C_12(ell)/2pi, ell*(ell+1)*C_22(ell)/2pi
2.696880000000000166e+01 1.788657888050422011e-06 2.384156894975092144e-06 3.461001092538841835e-06
2.798300000000000054e+01 1.861805983946120880e-06 2.488487629575080201e-06 3.627215293751004897e-06
2.903529999999999944e+01 1.937862445820421863e-06 2.597242839703709424e-06 3.801191186815170242e-06
3.012709999999999866e+01 2.012913158223250685e-06 2.704719596444059622e-06 3.973588602134867450e-06
3.126010000000000133e+01 2.090983569492799087e-06 2.816766520025612548e-06 4.154024013888790959e-06
3.243560000000000088e+01 2.172153962008965213e-06 2.933579830769700169e-06 4.342806268067842710e-06
3.365529999999999688e+01 2.252613176043228941e-06 3.049513767282985927e-06 4.530453184220042724e-06
3.492099999999999937e+01 2.335729379859277538e-06 3.169520583076875565e-06 4.725342546173020307e-06
3.623420000000000130e+01 2.421980736239874922e-06 3.294361899872603734e-06 4.928756028332503083e-06
3.759669999999999845e+01 2.507874887161757686e-06 3.418861496524543447e-06 5.131918177038557068e-06
3.901059999999999661e+01 2.595812599505692917e-06 3.546546508384412763e-06 5.340848092788415022e-06
4.047760000000000247e+01 2.686904158111781351e-06 3.679125450968076764e-06 5.558448639753495892e-06
4.199969999999999715e+01 2.778230036250621844e-06 3.812295995332653014e-06 5.777453324530999703e-06
4.357909999999999684e+01 2.870962340656710883e-06 3.947745593513088538e-06 6.000725425107024520e-06
4.521790000000000020e+01 2.966878361329020299e-06 4.088160596229433153e-06 6.232823415237467999e-06
4.691830000000000211e+01 3.063484531107681901e-06 4.229853897678469886e-06 6.467691787357261442e-06
4.868269999999999698e+01 3.160658087620815199e-06 4.372680280964645285e-06 6.704992000655168084e-06
5.051339999999999719e+01 3.260998747114739929e-06 4.520418524476522758e-06 6.951129134058578518e-06
5.241299999999999670e+01 3.362654114493105947e-06 4.670403681120677959e-06 7.201763278295948450e-06
5.438400000000000034e+01 3.464061349404524599e-06 4.820357712066812647e-06 7.452990647587524181e-06
5.642909999999999826e+01 3.568611115480153542e-06 4.975206114174355140e-06 7.713171197710518899e-06
5.855109999999999815e+01 3.675092349655962921e-06 5.133199218286717009e-06 7.979407444064816338e-06
6.075289999999999679e+01 3.780390900615649242e-06 5.289653731375124128e-06 8.243812393580132142e-06
6.303750000000000142e+01 3.888786591995701733e-06 5.450993205998515269e-06 8.517237116022346338e-06
